26,4,5,8,-1,-13,-109,-66,-9,2,4,13,-18,-30,-119,-45,17,6,-1,-9,27,20,91,71,-26,-1,0,1,13,20,-62,-19,29,2,2,0,-23,-1,-80,4,-7,-6,-12,-27,-11,-16,-67,-8,-27,1,1,13,-8,-11,21,-28,61,4,8,5,4,-7,-59,16,0
-47,-6,-5,-7,13,-1,35,-10,10,-4,0,7,-31,-33,-48,-52,34,10,5,-9,23,63,76,49,-27,-7,-7,-3,0,4,-111,-2,-7,7,11,11,2,2,76,3,7,-2,0,-6,21,-3,0,-8,-40,-4,-1,6,-2,-2,-105,-25,47,6,6,5,13,21,111,15,0
-19,-8,-8,-8,-21,-6,-79,12,0,5,4,16,24,9,33,34,-1,-4,-3,-6,-7,-11,-85,-12,-10,-2,-3,-2,-8,-30,-16,-22,-21,-7,-8,-12,-14,-18,-76,-44,27,7,4,-4,-10,23,127,69,-25,-12,-9,1,18,-33,-128,-83,7,7,1,-8,7,21,114,48,0
2,3,0,2,0,22,106,-14,-16,-2,-3,-4,18,21,-9,2,-8,0,3,5,-14,-15,13,-13,11,-4,-5,-8,-30,-27,-128,-22,-3,-5,-8,0,25,-9,-28,2,-22,8,8,-2,2,12,53,20,28,-9,-5,-5,-7,-7,-54,-38,-11,4,7,11,33,39,119,43,0
6,0,0,-2,-14,10,-51,5,7,0,4,13,13,-16,-45,-7,-84,-8,-3,-4,-36,-26,-128,-55,75,3,-8,-12,14,12,87,56,-3,2,0,-7,4,15,-13,0,-15,1,3,8,-2,-6,-55,-24,1,5,5,2,11,12,60,38,-35,-8,2,6,-13,-24,-112,-69,0
15,-5,-5,-15,12,-22,-38,36,9,6,-2,-4,6,61,84,70,23,4,2,8,4,14,-71,13,-46,-3,-6,-3,-8,-16,-99,-37,14,-1,0,2,-4,-16,13,-7,-23,-4,5,16,4,-7,21,-16,47,-2,-7,-28,13,-11,22,-26,5,6,6,11,5,30,-48,25,0
-12,-5,-1,4,-16,-17,-69,-16,-12,-3,-4,-6,13,2,72,22,3,-5,-4,-11,-35,-15,-46,-15,-21,2,5,8,34,30,69,15,48,2,-4,-13,-14,18,-3,1,-9,-1,2,3,-4,-10,-80,-21,-8,5,5,8,8,-3,-76,1,-36,-10,-12,-16,-12,-47,6,-30,0
43,0,-2,6,11,26,51,27,-9,-2,-1,-2,17,20,-79,-46,10,6,5,10,-9,-10,29,73,-16,-7,-5,-1,-13,-24,-115,-61,-28,1,4,7,18,4,127,46,-7,-11,-7,-7,-23,-14,-72,-76,49,9,7,10,17,45,127,41,15,4,10,25,9,13,73,47,0
-26,-9,-18,-60,-23,-35,-85,-40,27,10,8,16,38,82,109,72,-33,-2,-1,8,-1,4,-84,-14,33,-3,-4,-7,-15,-18,-92,-2,-57,2,7,10,5,-24,-128,-24,58,-1,0,0,9,-9,106,19,-3,-4,-5,-13,0,-1,23,-17,-7,-1,2,10,-6,7,-2,-1,0
-34,3,9,29,6,-25,-124,-1,12,-6,-20,-66,-10,-3,80,23,-4,0,-1,8,10,17,16,0,-19,-4,-5,9,15,9,36,-11,27,1,0,-9,-16,4,-45,-5,2,-2,0,15,13,11,35,23,-44,-4,2,-2,-26,-33,7,-6,41,0,-10,-17,21,3,42,11,0
-1,0,6,37,21,22,-15,-36,-10,-3,-6,-24,-31,-7,-49,-6,-26,-4,-4,5,12,1,20,8,-15,-3,-3,-14,0,-12,-83,-8,-11,-2,-2,1,-29,-4,127,46,14,4,7,13,20,16,-30,1,-11,-7,-7,-2,-18,-51,-107,-73,33,14,11,7,26,60,127,105,0
-10,-4,-2,6,-7,-9,-116,-16,-33,1,0,-5,-7,-1,-33,0,60,-1,-5,-12,2,3,-7,-8,-21,-7,-2,15,-29,-39,-128,-93,-1,-5,-11,-28,29,10,78,37,-23,-3,5,26,-15,-7,12,-3,19,11,8,12,26,38,76,67,-41,-5,-6,-15,-4,7,-87,-49,0
52,1,-2,-1,-19,-22,-38,-2,2,0,3,5,11,-12,-16,-22,-2,3,1,-7,-1,10,87,3,-10,0,-2,-19,16,4,-21,9,-16,3,4,2,-10,31,25,15,-4,-9,-4,9,2,-47,-128,-102,23,2,5,2,-33,-14,-128,20,31,20,14,8,76,83,127,127,0
-18,-3,-4,-12,-7,13,-94,-64,16,1,0,6,-10,-1,-127,-24,-14,-3,-3,2,-5,-13,10,0,-8,-7,-2,5,-16,-31,64,-9,1,5,6,7,14,2,11,6,-28,0,-4,-7,-2,-9,-16,42,30,-5,-8,-16,-5,0,0,-14,2,-1,1,3,8,21,15,-13,0
11,0,-1,8,3,-7,-26,-10,-18,2,6,15,13,21,114,27,-47,-6,-3,1,3,-27,-128,4,49,-5,-9,-10,-22,-27,37,-25,-9,1,0,1,15,45,54,8,9,-2,-4,-4,2,-9,-103,-22,-26,3,5,7,2,-15,-78,-30,-9,2,4,-3,-12,-9,28,6,0
35,-1,-8,-12,-2,-11,77,36,-15,2,3,-3,17,35,33,68,44,-1,-2,10,-2,7,-71,-40,-48,-6,1,9,-34,-25,-13,-25,-8,-4,-6,-18,23,-6,-89,-26,29,4,2,2,-13,-9,46,-41,-11,2,-3,-10,8,41,120,30,-2,-2,0,0,1,-16,-128,-41,0
-27,-5,-4,4,-6,-19,-29,17,72,3,5,14,9,4,29,-12,-61,-1,1,-8,-5,1,-63,2,47,-1,0,0,26,-22,-3,-53,27,1,-4,-11,-16,-2,-69,3,-14,8,5,9,33,63,42,46,18,2,5,8,4,25,127,18,-19,-2,-4,-2,-11,6,-109,-2,0
-84,-7,0,4,-12,-39,27,-20,79,2,-6,-16,0,6,46,26,-2,-5,-9,-9,2,-4,-65,14,-11,0,2,8,4,15,17,16,-11,-8,-1,11,-10,-56,-118,-50,-21,-1,-4,-21,-27,4,97,27,3,1,-1,-6,30,10,41,22,-5,-2,-4,-1,-7,0,-55,4,0
8,-7,-3,5,-24,-13,-50,-50,-63,-5,-6,-34,-24,-16,-128,-31,71,10,7,10,35,73,67,75,2,0,-2,2,-1,5,-120,7,-8,7,8,6,-1,17,11,5,26,-5,-6,-5,19,-12,-125,-11,-31,-5,-3,-3,-29,-41,48,-21,-13,-1,-4,-8,-6,-18,-12,9,0
